Date,Sector,Loans_and_other_receivables,Undrawn_credit_facilities,Guarantees_and_other_commitments,Past_due_30_60,Past_due_60_90,NPA_unlikely_to_pay,NPA_90_180,NPA_180_365,NPA_over_1_year,Impairment_losses_net
2016-12-31,Non-financial corporations excl. housing corporations,"47,696,108,248","23,354,741,828","11,606,147,128","97,359,000","46,260,000","1,118,922,053","102,026,028","82,513,103","586,477,000","57,767,000"
2016-12-31,Housing corporations,"13,814,242,690","3,373,656,674","329,872,000","7,308,000","2,366,000","6,867,000","984,000","1,639,000","16,004,000","1,734,000"
2016-12-31,Financial and insurance corporations,"8,449,164,515","2,280,735,595","17,761,215,069","101,000",0,"8,596,000","24,000","179,000","349,000","572,000"
2016-12-31,Public entities,"2,615,777,124","1,259,938,000","261,705,000","21,000","3,000",0,"46,000","48,000","34,000","-317,000"
2016-12-31,Households,"97,414,688,421","7,482,060,880","99,380,500","297,808,736","141,545,646","967,753,000","218,599,192","250,584,050","583,629,138","90,677,574"
2016-12-31,Non-profit organisations serving households,"1,515,882,514","214,470,517","334,498,000","645,000","303,000","22,187,000","878,000","1,891,000","2,430,000","2,749,000"
2016-12-31,Rest of the world,"31,094,426,894","3,065,048,583","5,746,427,231","13,951,000","23,226,000","114,267,000","10,739,000","4,905,000","32,155,000","47,271,000"
2016-12-31,Sundry,"4,813,000","106,000","19,224,082","14,000","14,000","7,000","10,000","47,000","580,000","-35,748,000"
2016-09-30,Non-financial corporations excl. housing corporations,"47,668,703,546","23,821,449,202","11,654,247,978","86,552,133","45,878,038","1,291,081,555","86,621,092","104,809,922","663,455,019","33,496,383"
2016-09-30,Housing corporations,"15,391,675,141","3,490,319,122","232,281,903","7,163,038","2,310,581","4,094,713","10,044,671","3,351,426","15,650,899","1,357,312"
2016-09-30,Financial and insurance corporations,"9,084,213,100","1,772,274,976","2,426,715,785","1,000","1,000","21,026,246",0,"201,002","352,098","373,396"
2016-09-30,Public entities,"2,714,318,051","1,269,049,592","219,845,620","6,000",0,0,"83,000","582,000","1,069,000","-370,000"
2016-09-30,Households,"120,039,052,904","8,000,070,240","96,814,277","307,702,373","156,667,540","1,060,255,093","307,132,151","243,555,868","594,612,655","64,595,409"
2016-09-30,Non-profit organisations serving households,"1,475,417,079","187,188,410","282,436,179","1,021,749","52,195","20,756,000","1,560,891","1,249,000","2,139,000","1,323,000"
2016-09-30,Rest of the world,"24,098,185,002","3,153,066,179","5,436,212,230","13,543,825","18,636,140","50,350,500","14,509,209","19,577,000","26,969,000","23,732,000"
2016-09-30,Sundry,"17,089,000","42,131,000","17,323,650","139,000","94,000","358,000","488,000","368,000","824,000","-28,081,000"
2016-06-30,Non-financial corporations excl. housing corporations,"47,977,266,079","24,264,163,566","11,307,468,441","92,877,051","37,427,630","1,204,146,146","86,178,236","79,806,802","674,878,301","23,396,159"
2016-06-30,Housing corporations,"14,840,661,533","3,539,868,975","262,458,903","6,164,783","3,316,000","3,652,353","3,738,865","2,748,000","15,894,201","960,312"
2016-06-30,Financial and insurance corporations,"9,373,206,424","1,303,788,693","2,542,989,058","71,000","1,000","13,219,486","1,624,000","387,000","330,602","383,140"
2016-06-30,Public entities,"2,711,704,407","1,276,469,087","212,873,620","14,000","156,000",0,"1,000","519,000","494,000","-370,000"
2016-06-30,Households,"118,781,986,758","7,945,713,236","97,187,074","298,764,465","151,178,580","1,127,290,792","231,578,454","222,106,051","580,903,447","42,463,615"
2016-06-30,Non-profit organisations serving households,"1,486,128,289","206,485,464","274,341,462","167,294","630,068","18,991,000","2,264,641","845,000","2,048,000","1,266,000"
